                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3567,                 3.2333,                 1.9801,                 1.2912,                 0.4844,                0.15763,                0.16343,                0.10934,                0.45272,                0.12386,                0.12392,                0.06571,                 1.3394,                 2.9043,                 1.3807,                 1.2248,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.2491,                 2.8925,                 1.3363,                 1.2238,                0.39633,                 0.1736,                 0.1826,                0.11949,                0.37683,                0.13395,                0.13765,                0.07271,                 1.3389,                 2.8573,                 1.3277,                  1.212,              0.0066297,              0.0066297,              0.0066297
                      3,                 1.2791,                 2.8891,                 1.3258,                 1.2303,                0.39026,                0.18152,                  0.178,                0.11509,                0.37414,                0.13812,                0.13595,                0.07051,                 1.3759,                 2.9107,                 1.3551,                 1.2257,              0.0098971,              0.0098971,              0.0098971
                      4,                 1.2991,                 2.9001,                 1.3313,                 1.2415,                0.39458,                0.17965,                0.18852,                0.12113,                0.38282,                0.13847,                0.14352,                0.07252,                 1.3621,                 2.8772,                 1.3479,                 1.2278,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2742,                 2.8504,                 1.2859,                 1.2274,                 0.3811,                0.19544,                0.19514,                0.12641,                0.36434,                0.15344,                0.14816,                0.07693,                 1.3358,                 2.8249,                 1.2985,                 1.2125,               0.009802,               0.009802,               0.009802
                      6,                 1.2537,                 2.8119,                 1.2568,                 1.2163,                0.41733,                0.19775,                0.20293,                 0.1318,                0.39968,                0.15489,                0.15484,                0.07974,                 1.3289,                 2.8083,                 1.2866,                 1.2055,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2362,                 2.7743,                 1.2273,                 1.2071,                0.43362,                0.20222,                0.20948,                0.13512,                0.38172,                0.16054,                0.15854,                0.08232,                 1.3138,                 2.7902,                  1.259,                 1.1929,               0.009703,               0.009703,               0.009703
                      8,                  1.223,                 2.7477,                 1.2049,                 1.1997,                0.43154,                0.20906,                0.21465,                0.13933,                0.39447,                0.16801,                0.16579,                0.08579,                 1.2993,                 2.7493,                 1.2375,                  1.185,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.213,                 2.7211,                 1.1873,                 1.1945,                0.45568,                0.20847,                 0.2179,                0.14125,                0.41755,                0.16742,                0.16925,                0.08854,                 1.2871,                  2.733,                 1.2234,                 1.1751,               0.009604,               0.009604,               0.009604
                     10,                 1.2035,                 2.6996,                 1.1726,                 1.1884,                0.37738,                0.21707,                0.22176,                0.14479,                0.33591,                0.17319,                0.17068,                0.08889,                 1.2757,                 2.7146,                 1.2118,                 1.1701,              0.0095545,              0.0095545,              0.0095545
