                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.776,                 3.1798,                 2.1273,                 1.6477,                0.38582,                0.23155,                0.18138,                0.08765,                0.37971,                0.21774,                0.17203,                0.06612,                 1.8035,                 3.2393,                 2.3272,                 1.7391,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.5457,                 2.6224,                 1.4749,                  1.465,                0.41628,                  0.267,                0.23124,                0.11335,                0.40897,                0.26039,                0.21985,                0.08628,                 1.7826,                 3.2309,                 2.2099,                 1.6974,              0.0066383,              0.0066383,              0.0066383
                      3,                 1.4461,                 2.4059,                 1.3206,                 1.3847,                0.43518,                0.29007,                0.25243,                0.12057,                0.41549,                0.27177,                0.22648,                 0.0885,                 1.8011,                 3.2772,                  2.144,                 1.7225,              0.0099276,              0.0099276,              0.0099276
                      4,                  1.383,                 2.2602,                 1.2276,                 1.3452,                0.46102,                0.30363,                0.27719,                0.13426,                0.45367,                0.29254,                0.25958,                0.10355,                 1.7862,                 3.2287,                   2.07,                 1.7107,               0.009901,               0.009901,               0.009901
                      5,                 1.3202,                 2.1296,                  1.138,                 1.3015,                0.45532,                0.32657,                0.30003,                0.14618,                0.44305,                0.31198,                0.28047,                0.11329,                 1.7434,                 3.1944,                  1.982,                 1.6882,               0.009868,               0.009868,               0.009868
                      6,                  1.272,                 2.0347,                 1.0845,                 1.2741,                0.46947,                 0.3269,                0.30529,                0.14659,                0.46316,                0.31268,                0.28662,                0.11584,                 1.7548,                 3.1866,                 1.9935,                 1.6987,               0.009835,               0.009835,               0.009835
                      7,                 1.2477,                 1.9718,                 1.0457,                 1.2567,                0.45522,                0.33815,                0.30931,                0.15268,                 0.4486,                0.32577,                0.29034,                0.11709,                 1.7509,                 3.1531,                 1.9351,                 1.6804,               0.009802,               0.009802,               0.009802
                      8,                  1.219,                 1.9155,                 1.0171,                 1.2379,                0.50388,                0.35166,                0.33859,                0.16684,                0.49857,                0.33615,                 0.3136,                0.12836,                 1.7343,                 3.1405,                 1.9209,                 1.6812,               0.009769,               0.009769,               0.009769
                      9,                  1.199,                 1.8896,                 0.9953,                 1.2277,                0.52672,                0.34539,                0.34085,                0.16716,                0.51211,                 0.3294,                 0.3174,                0.13005,                 1.7417,                 3.1086,                  1.902,                 1.6845,               0.009736,               0.009736,               0.009736
                     10,                 1.1817,                 1.8517,                0.97126,                 1.2171,                 0.5087,                0.35191,                0.34777,                0.16856,                0.50289,                0.33536,                0.32424,                0.13242,                 1.7381,                  3.105,                 1.8695,                 1.6867,               0.009703,               0.009703,               0.009703
