                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7769,                 3.1807,                 2.1275,                 1.6496,                0.36742,                0.22154,                0.17931,                0.08551,                0.35972,                0.21556,                0.17004,                0.06625,                 1.8411,                 3.2332,                 2.3594,                 1.7486,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.5422,                 2.6152,                 1.4668,                 1.4607,                0.41564,                0.26341,                0.23116,                0.11292,                0.41454,                0.25424,                0.21792,                0.08424,                 1.7851,                 3.2761,                 2.2056,                 1.7077,              0.0065943,              0.0065943,              0.0065943
                      3,                 1.4455,                 2.3936,                 1.3146,                 1.3861,                0.40628,                0.29258,                0.25065,                0.12074,                0.39724,                0.28159,                0.23404,                0.09319,                 1.8086,                  3.259,                 2.1281,                 1.7172,              0.0097957,              0.0097957,              0.0097957
                      4,                 1.3848,                 2.2562,                 1.2278,                 1.3441,                0.48365,                0.30719,                0.28936,                0.13965,                0.46476,                0.29289,                0.26724,                0.10791,                 1.7791,                 3.2503,                 2.0497,                 1.7059,               0.009703,               0.009703,               0.009703
                      5,                 1.3218,                 2.1242,                 1.1362,                 1.3016,                0.46933,                0.31903,                 0.2962,                0.14436,                0.45709,                0.30488,                0.27545,                0.11207,                 1.7529,                 3.1963,                  1.978,                 1.6861,               0.009604,               0.009604,               0.009604
                      6,                 1.2782,                 2.0371,                 1.0832,                 1.2747,                0.47623,                 0.3302,                0.31261,                0.15083,                0.47114,                0.31935,                0.29248,                0.11625,                 1.7523,                 3.1822,                 1.9865,                 1.6877,               0.009505,               0.009505,               0.009505
                      7,                 1.2519,                  1.977,                 1.0456,                 1.2597,                0.49248,                0.33428,                0.32157,                0.15729,                0.48156,                0.31433,                0.29766,                0.12025,                 1.7506,                 3.1446,                 1.9436,                 1.6869,               0.009406,               0.009406,               0.009406
                      8,                 1.2256,                 1.9149,                 1.0156,                 1.2422,                0.50035,                0.33937,                 0.3289,                0.16305,                0.49075,                0.32406,                0.30461,                0.12617,                 1.7346,                 3.1469,                 1.9058,                 1.6886,               0.009307,               0.009307,               0.009307
                      9,                 1.2066,                 1.8912,                0.99702,                 1.2307,                0.50338,                 0.3585,                0.34446,                0.16898,                0.49339,                0.34389,                0.32606,                0.13101,                 1.7446,                 3.1194,                 1.8685,                 1.6986,               0.009208,               0.009208,               0.009208
                     10,                 1.1834,                 1.8442,                0.97005,                 1.2162,                0.44104,                0.36261,                0.35108,                0.17268,                0.42766,                0.35312,                0.32834,                0.13643,                 1.7393,                 3.0906,                 1.8691,                 1.6884,               0.009109,               0.009109,               0.009109
                     11,                 1.1658,                 1.8051,                0.94948,                 1.2096,                0.46472,                0.36231,                0.35043,                0.17118,                0.45997,                 0.3444,                0.32691,                0.13474,                 1.7291,                 3.0948,                 1.8239,                  1.676,                0.00901,                0.00901,                0.00901
                     12,                 1.1542,                 1.7893,                0.94128,                 1.2007,                0.48401,                0.35857,                0.35143,                0.17326,                0.44787,                0.34832,                0.32315,                0.13235,                 1.7191,                 3.1067,                 1.8086,                 1.6673,               0.008911,               0.008911,               0.008911
                     13,                  1.142,                  1.765,                0.92343,                 1.1933,                0.46895,                0.37862,                0.35654,                0.17348,                0.45852,                0.35902,                0.33206,                0.13599,                 1.7267,                 3.0862,                 1.7984,                 1.6779,               0.008812,               0.008812,               0.008812
                     14,                 1.1352,                 1.7486,                0.91111,                 1.1873,                0.45361,                0.37601,                0.36188,                 0.1768,                 0.4799,                0.35941,                0.33883,                0.13916,                 1.7188,                 3.0604,                 1.7923,                 1.6712,               0.008713,               0.008713,               0.008713
                     15,                 1.1217,                  1.722,                0.89837,                 1.1821,                0.46522,                0.38019,                0.36916,                0.18232,                0.48606,                0.35281,                0.34292,                 0.1403,                 1.7227,                 3.0829,                 1.7751,                 1.6765,               0.008614,               0.008614,               0.008614
                     16,                 1.1203,                 1.7153,                 0.8941,                 1.1793,                0.48752,                  0.376,                0.36956,                0.18259,                0.46931,                0.36003,                0.34627,                0.14094,                 1.7128,                 3.0651,                 1.7878,                 1.6663,               0.008515,               0.008515,               0.008515
                     17,                 1.1035,                  1.689,                0.88578,                 1.1754,                0.51278,                0.37907,                0.37443,                0.18612,                0.49596,                0.36464,                 0.3488,                0.14523,                  1.702,                  3.068,                 1.7716,                 1.6576,               0.008416,               0.008416,               0.008416
                     18,                 1.1016,                 1.6845,                0.87922,                 1.1733,                0.51104,                0.37079,                0.38072,                0.18914,                0.49938,                0.35326,                0.35385,                0.14512,                 1.7078,                 3.0577,                 1.7498,                 1.6633,               0.008317,               0.008317,               0.008317
                     19,                 1.0994,                 1.6845,                0.87392,                 1.1678,                0.50822,                0.36668,                0.38029,                0.18917,                0.48819,                0.35058,                0.35097,                0.14584,                 1.7019,                 3.0556,                 1.7527,                 1.6671,               0.008218,               0.008218,               0.008218
                     20,                 1.0882,                 1.6572,                0.86312,                 1.1669,                0.48959,                0.39136,                0.38346,                0.18941,                0.47839,                0.37376,                0.35569,                0.14801,                 1.7131,                 3.0562,                 1.7571,                 1.6658,               0.008119,               0.008119,               0.008119
                     21,                 1.0886,                 1.6565,                0.86265,                 1.1634,                0.48719,                 0.4071,                0.38457,                0.19017,                0.46924,                0.38995,                0.35408,                0.14517,                 1.7058,                 3.0461,                 1.7255,                 1.6697,                0.00802,                0.00802,                0.00802
                     22,                 1.0803,                 1.6436,                0.85258,                 1.1557,                0.48327,                0.40635,                0.38375,                0.18658,                0.47753,                0.37721,                0.35265,                 0.1472,                 1.7074,                 3.0413,                 1.7427,                 1.6631,               0.007921,               0.007921,               0.007921
                     23,                 1.0717,                 1.6276,                0.84587,                 1.1561,                0.51158,                0.38789,                0.39378,                0.19748,                 0.5057,                0.36889,                0.36474,                0.15152,                 1.7077,                 3.0537,                 1.7139,                 1.6673,               0.007822,               0.007822,               0.007822
                     24,                 1.0749,                 1.6241,                0.84726,                 1.1565,                0.51838,                0.40948,                0.40082,                0.19781,                0.51227,                0.38223,                0.37362,                0.15387,                 1.6995,                 3.0358,                 1.7262,                 1.6633,               0.007723,               0.007723,               0.007723
                     25,                 1.0663,                 1.6096,                0.83459,                 1.1499,                0.49577,                0.40901,                0.39603,                0.19535,                0.49577,                0.38638,                0.36655,                0.15044,                 1.7029,                 3.0486,                 1.7076,                 1.6633,               0.007624,               0.007624,               0.007624
                     26,                 1.0589,                 1.5958,                0.82816,                 1.1454,                0.50482,                0.38821,                0.39543,                0.19603,                0.48723,                 0.3722,                0.36494,                0.15144,                 1.7015,                   3.03,                 1.7232,                 1.6578,               0.007525,               0.007525,               0.007525
                     27,                 1.0615,                 1.6035,                0.83143,                 1.1475,                0.52419,                0.41433,                0.40827,                  0.203,                0.51178,                0.39495,                 0.3785,                 0.1563,                 1.6966,                 3.0342,                 1.6955,                  1.658,               0.007426,               0.007426,               0.007426
                     28,                 1.0598,                 1.6017,                0.82962,                 1.1461,                0.52017,                0.40057,                0.40379,                0.20073,                 0.5329,                0.38159,                0.38004,                 0.1567,                 1.6965,                 3.0254,                  1.693,                 1.6512,               0.007327,               0.007327,               0.007327
                     29,                   1.05,                 1.5836,                0.81964,                 1.1427,                0.49155,                0.39618,                0.39161,                0.19522,                0.47733,                0.37898,                 0.3636,                0.15005,                 1.6884,                 3.0124,                 1.6956,                 1.6509,               0.007228,               0.007228,               0.007228
                     30,                 1.0475,                 1.5739,                0.81429,                 1.1381,                0.50564,                0.39961,                0.39853,                 0.2003,                 0.4921,                0.38147,                0.37076,                0.15362,                 1.6886,                 3.0179,                 1.6865,                 1.6464,               0.007129,               0.007129,               0.007129
                     31,                 1.0491,                 1.5785,                0.81914,                 1.1406,                 0.5073,                0.41071,                0.40203,                0.20082,                0.49508,                0.38966,                0.37402,                0.15523,                 1.6917,                 3.0154,                 1.6958,                 1.6514,                0.00703,                0.00703,                0.00703
                     32,                 1.0386,                 1.5615,                0.80596,                 1.1328,                0.50272,                0.40226,                0.39968,                0.19867,                0.49257,                0.38554,                0.37192,                0.15303,                 1.6935,                 3.0106,                 1.6858,                 1.6559,               0.006931,               0.006931,               0.006931
                     33,                 1.0431,                 1.5671,                0.80956,                 1.1376,                0.53013,                0.40434,                0.40865,                0.20341,                0.52226,                0.38818,                0.38252,                0.15892,                 1.6871,                 3.0061,                 1.6706,                 1.6498,               0.006832,               0.006832,               0.006832
                     34,                 1.0322,                 1.5461,                0.79516,                 1.1309,                0.51986,                0.39802,                 0.4067,                0.20452,                0.51951,                0.38012,                0.38272,                 0.1594,                  1.682,                  3.011,                 1.6767,                 1.6454,               0.006733,               0.006733,               0.006733
                     35,                 1.0379,                 1.5578,                0.80252,                 1.1335,                0.51563,                0.41068,                0.40889,                0.20525,                0.50532,                0.39736,                0.38584,                0.16155,                 1.6833,                 2.9977,                 1.6645,                 1.6465,               0.006634,               0.006634,               0.006634
                     36,                 1.0311,                 1.5437,                0.79624,                 1.1287,                0.52347,                 0.4057,                0.40927,                0.20503,                0.50434,                0.38852,                0.38111,                0.15873,                 1.6803,                 2.9928,                 1.6648,                 1.6441,               0.006535,               0.006535,               0.006535
                     37,                 1.0267,                 1.5381,                0.79467,                 1.1289,                0.52029,                0.42191,                0.41794,                0.20855,                0.50938,                0.39787,                0.38571,                0.16116,                 1.6784,                 2.9921,                 1.6542,                 1.6431,               0.006436,               0.006436,               0.006436
                     38,                 1.0271,                 1.5306,                0.79235,                 1.1277,                0.50782,                0.41231,                0.41224,                0.20624,                0.50058,                0.39387,                0.38449,                0.16116,                 1.6819,                 2.9907,                 1.6548,                 1.6473,               0.006337,               0.006337,               0.006337
                     39,                 1.0299,                  1.536,                0.79334,                 1.1302,                0.54518,                 0.4056,                0.41752,                 0.2083,                0.53132,                0.39317,                0.38948,                0.16139,                 1.6764,                 2.9818,                 1.6519,                 1.6388,               0.006238,               0.006238,               0.006238
                     40,                 1.0246,                 1.5236,                0.78734,                 1.1285,                0.52168,                0.40329,                0.41882,                0.20904,                0.50274,                  0.386,                0.38467,                0.15984,                 1.6801,                 2.9863,                 1.6431,                 1.6408,               0.006139,               0.006139,               0.006139
                     41,                 1.0155,                  1.513,                0.78304,                 1.1228,                0.54008,                0.41594,                0.42654,                0.21093,                0.50898,                0.39799,                0.39387,                0.16366,                 1.6801,                 2.9868,                 1.6423,                 1.6433,                0.00604,                0.00604,                0.00604
                     42,                 1.0186,                 1.5145,                0.78009,                 1.1227,                0.54592,                 0.4152,                0.42329,                0.21241,                0.53459,                0.40063,                 0.3954,                0.16526,                 1.6824,                  2.981,                 1.6374,                 1.6456,               0.005941,               0.005941,               0.005941
                     43,                 1.0145,                 1.5085,                0.77634,                 1.1213,                0.54057,                0.42001,                0.42832,                 0.2139,                0.52206,                 0.4054,                0.39934,                0.16716,                 1.6798,                 2.9811,                 1.6303,                 1.6446,               0.005842,               0.005842,               0.005842
                     44,                 1.0135,                 1.5125,                0.77704,                   1.12,                0.56048,                0.41166,                0.43462,                0.21881,                0.54907,                0.39688,                0.40551,                0.17125,                 1.6777,                 2.9767,                 1.6292,                 1.6405,               0.005743,               0.005743,               0.005743
                     45,                 1.0106,                 1.5017,                0.77357,                 1.1201,                0.51202,                0.43638,                0.43254,                0.21763,                0.50079,                0.40327,                0.39992,                0.16902,                 1.6798,                 2.9794,                 1.6316,                 1.6433,               0.005644,               0.005644,               0.005644
                     46,                  1.008,                 1.5038,                0.77087,                 1.1185,                0.53747,                 0.4233,                0.42717,                0.21386,                0.50906,                0.40347,                0.39193,                0.16694,                 1.6768,                 2.9661,                 1.6259,                 1.6446,               0.005545,               0.005545,               0.005545
                     47,                 1.0042,                 1.4949,                0.76916,                 1.1187,                0.53888,                0.42058,                0.43346,                0.21495,                0.52115,                0.39944,                0.39903,                0.16906,                 1.6746,                 2.9783,                 1.6166,                 1.6374,               0.005446,               0.005446,               0.005446
                     48,                 1.0035,                 1.4917,                0.76775,                  1.115,                0.54931,                  0.411,                0.43274,                0.21502,                0.52651,                0.39544,                0.39974,                0.16939,                 1.6729,                 2.9736,                 1.6162,                 1.6359,               0.005347,               0.005347,               0.005347
                     49,                 1.0049,                 1.4972,                0.76633,                 1.1155,                0.53542,                0.41549,                0.42983,                0.21583,                 0.5257,                0.40045,                0.40191,                0.16949,                 1.6706,                 2.9668,                 1.6136,                 1.6379,               0.005248,               0.005248,               0.005248
                     50,                0.99459,                 1.4754,                 0.7588,                  1.111,                0.54404,                 0.4151,                0.43583,                0.21553,                0.52617,                0.39749,                0.40403,                0.17056,                 1.6691,                 2.9701,                 1.6151,                 1.6358,               0.005149,               0.005149,               0.005149
                     51,                  1.001,                 1.4764,                0.76129,                 1.1128,                0.53794,                0.42742,                0.43657,                 0.2196,                 0.5258,                0.40838,                0.40871,                 0.1722,                 1.6723,                 2.9681,                 1.6145,                 1.6386,                0.00505,                0.00505,                0.00505
                     52,                 1.0002,                 1.4853,                0.76487,                 1.1145,                0.55341,                0.42921,                0.43762,                 0.2181,                0.54939,                0.40761,                0.40988,                0.17214,                 1.6687,                 2.9684,                 1.6151,                 1.6343,               0.004951,               0.004951,               0.004951
                     53,                0.99424,                 1.4685,                0.75447,                 1.1081,                0.55987,                 0.4233,                 0.4433,                0.21987,                0.56572,                0.39803,                0.41004,                0.17126,                  1.668,                 2.9662,                 1.6056,                 1.6327,               0.004852,               0.004852,               0.004852
                     54,                0.99605,                 1.4777,                0.75673,                 1.1112,                0.55354,                0.42546,                0.44287,                   0.22,                0.53351,                0.40837,                  0.413,                 0.1735,                 1.6685,                 2.9626,                 1.6023,                 1.6344,               0.004753,               0.004753,               0.004753
                     55,                0.99195,                  1.463,                0.75374,                 1.1091,                0.55619,                0.42194,                0.43711,                0.21897,                0.55661,                0.39843,                0.41065,                0.17217,                 1.6653,                 2.9664,                 1.6027,                 1.6311,               0.004654,               0.004654,               0.004654
                     56,                0.99284,                 1.4647,                0.75339,                 1.1077,                0.54794,                0.43539,                0.44651,                0.22273,                0.53293,                0.41546,                0.41641,                0.17451,                  1.665,                 2.9619,                 1.5994,                 1.6295,               0.004555,               0.004555,               0.004555
                     57,                 0.9925,                  1.462,                0.75579,                 1.1077,                0.54986,                0.42253,                0.43728,                0.22037,                0.56272,                0.41168,                0.41531,                0.17369,                 1.6683,                 2.9648,                  1.602,                 1.6339,               0.004456,               0.004456,               0.004456
                     58,                 0.9865,                 1.4533,                0.74803,                 1.1047,                0.55953,                0.42568,                0.44524,                0.22272,                0.56262,                0.40578,                0.41397,                0.17424,                 1.6667,                 2.9561,                 1.5988,                 1.6323,               0.004357,               0.004357,               0.004357
                     59,                0.98655,                 1.4565,                0.74597,                 1.1038,                0.54461,                0.44039,                0.44562,                0.22416,                0.52554,                0.42376,                0.41442,                0.17586,                 1.6655,                 2.9565,                 1.5952,                 1.6327,               0.004258,               0.004258,               0.004258
                     60,                0.98572,                 1.4559,                0.74614,                 1.1057,                0.54364,                0.43745,                0.44571,                0.22518,                0.53927,                0.40957,                 0.4176,                0.17729,                 1.6629,                 2.9558,                 1.5884,                 1.6295,               0.004159,               0.004159,               0.004159
                     61,                0.98255,                 1.4489,                0.74418,                 1.1048,                0.57089,                0.42577,                0.44819,                0.22654,                0.55398,                0.41044,                0.41922,                0.17709,                 1.6656,                 2.9572,                 1.5909,                 1.6325,                0.00406,                0.00406,                0.00406
                     62,                0.98035,                 1.4428,                0.74107,                 1.1026,                0.57163,                0.41826,                0.44545,                0.22487,                0.56024,                0.39937,                0.41555,                0.17545,                 1.6664,                 2.9592,                 1.5921,                 1.6301,               0.003961,               0.003961,               0.003961
