                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5765,                  2.791,                 2.3722,                 1.4874,                 0.5387,                0.43808,                0.44925,                0.25208,                0.53265,                0.42739,                0.43732,                0.20548,                 1.4512,                 2.4463,                 1.5578,                 1.3388,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.4151,                 2.4612,                 1.5983,                 1.3171,                0.57983,                0.48151,                0.51205,                0.28909,                0.57453,                0.46865,                0.49404,                0.23214,                 1.3696,                 2.3914,                 1.4547,                 1.2786,              0.0066383,              0.0066383,              0.0066383
                      3,                 1.3834,                 2.4505,                 1.4876,                 1.2981,                0.62236,                0.48757,                0.52172,                0.29203,                0.60708,                0.48699,                0.50622,                0.23558,                 1.3908,                 2.4719,                 1.4613,                 1.3004,              0.0099276,              0.0099276,              0.0099276
                      4,                 1.3746,                 2.4332,                  1.416,                 1.2956,                0.63052,                0.52106,                  0.555,                0.31662,                0.63253,                0.51129,                0.53796,                0.25643,                 1.3612,                 2.4064,                 1.3543,                 1.2849,               0.009901,               0.009901,               0.009901
                      5,                 1.3247,                 2.3484,                 1.3018,                 1.2681,                0.66138,                0.55178,                 0.5962,                0.34644,                0.66108,                0.53953,                0.57874,                0.28267,                 1.3326,                 2.3254,                 1.2657,                 1.2687,               0.009868,               0.009868,               0.009868
                      6,                 1.2771,                 2.2498,                 1.2003,                 1.2417,                0.66712,                0.56818,                0.62096,                0.36634,                 0.6592,                0.55669,                0.59722,                0.29325,                 1.2881,                 2.2789,                 1.2064,                 1.2429,               0.009835,               0.009835,               0.009835
                      7,                 1.2438,                 2.1745,                  1.126,                 1.2194,                0.66856,                0.58582,                 0.6339,                0.37767,                0.67419,                0.57146,                0.61587,                0.30485,                  1.276,                 2.2435,                  1.181,                 1.2428,               0.009802,               0.009802,               0.009802
                      8,                 1.2159,                 2.1211,                 1.0656,                 1.2026,                0.70516,                0.59801,                0.64887,                0.39299,                0.71692,                0.58331,                0.63853,                0.32146,                 1.2671,                 2.2038,                 1.1315,                 1.2305,               0.009769,               0.009769,               0.009769
                      9,                 1.1928,                 2.0714,                 1.0239,                 1.1843,                0.72009,                0.59764,                0.65617,                0.39858,                0.71291,                0.58554,                0.63898,                0.32167,                 1.2508,                 2.1847,                 1.1025,                 1.2282,               0.009736,               0.009736,               0.009736
                     10,                 1.1765,                 2.0288,                0.97629,                 1.1764,                0.73103,                0.59978,                 0.6638,                0.40299,                0.72473,                0.59127,                0.64781,                0.32671,                 1.2525,                 2.1819,                 1.0896,                 1.2288,               0.009703,               0.009703,               0.009703
                     11,                 1.1524,                 1.9877,                 0.9428,                 1.1638,                0.73751,                0.60929,                0.67343,                0.40825,                0.74113,                 0.5943,                0.66071,                0.33529,                 1.2396,                 2.1584,                 1.0836,                 1.2224,                0.00967,                0.00967,                0.00967
                     12,                  1.131,                 1.9379,                0.90598,                 1.1514,                 0.7322,                0.63168,                 0.6865,                0.41915,                0.73575,                0.61874,                0.67252,                0.34491,                 1.2313,                 2.1469,                  1.039,                 1.2258,               0.009637,               0.009637,               0.009637
                     13,                 1.1179,                 1.9068,                0.87528,                 1.1408,                0.74465,                0.61891,                0.68101,                0.41738,                0.73727,                0.60625,                0.66113,                0.34036,                 1.2295,                 2.1476,                 1.0404,                 1.2164,               0.009604,               0.009604,               0.009604
                     14,                 1.1009,                 1.8796,                0.85219,                 1.1323,                0.76976,                0.61958,                0.69224,                0.42349,                0.76839,                0.60277,                0.67473,                0.34163,                 1.2256,                 2.1555,                 1.0372,                 1.2152,               0.009571,               0.009571,               0.009571
                     15,                 1.0912,                 1.8543,                0.82914,                 1.1265,                  0.725,                0.64105,                0.69758,                0.43054,                0.71506,                0.62932,                 0.6791,                0.34956,                 1.2213,                 2.1353,                 1.0369,                 1.2185,               0.009538,               0.009538,               0.009538
                     16,                 1.0742,                 1.8315,                0.80761,                 1.1138,                0.76437,                0.62828,                 0.7019,                0.43337,                0.76721,                 0.6178,                0.68449,                0.35186,                 1.2234,                 2.1185,                 1.0093,                 1.2244,               0.009505,               0.009505,               0.009505
                     17,                 1.0638,                 1.8094,                0.78915,                 1.1114,                0.75898,                0.64693,                0.70389,                0.43676,                0.74762,                0.63581,                0.68597,                0.35716,                 1.2173,                 2.1254,                 1.0087,                 1.2163,               0.009472,               0.009472,               0.009472
                     18,                 1.0522,                 1.7761,                0.76437,                 1.1025,                0.74705,                0.64282,                0.70036,                0.43599,                0.75331,                0.62648,                 0.6877,                0.35786,                  1.218,                 2.1392,                0.99616,                 1.2198,               0.009439,               0.009439,               0.009439
                     19,                 1.0408,                 1.7576,                0.74579,                 1.0957,                0.79492,                0.62517,                0.70822,                0.44129,                0.78713,                0.61889,                0.69409,                0.36284,                 1.2127,                 2.1213,                 0.9884,                 1.2172,               0.009406,               0.009406,               0.009406
                     20,                 1.0312,                 1.7395,                0.73682,                 1.0904,                0.76763,                0.66126,                0.71312,                0.44255,                0.76661,                0.64808,                0.70074,                0.36544,                 1.2162,                 2.1224,                0.97315,                 1.2288,               0.009373,               0.009373,               0.009373
                     21,                 1.0212,                 1.7245,                0.72293,                 1.0844,                0.75367,                0.65744,                 0.7067,                0.44017,                0.74545,                0.64551,                0.68983,                0.36064,                 1.2095,                 2.1065,                 0.9853,                 1.2197,                0.00934,                0.00934,                0.00934
                     22,                 1.0145,                 1.7081,                0.70736,                 1.0821,                0.75125,                0.66906,                0.71314,                0.44014,                0.74694,                 0.6526,                0.69668,                0.36372,                 1.2067,                 2.1103,                0.97723,                 1.2195,               0.009307,               0.009307,               0.009307
                     23,                0.99762,                 1.6779,                0.68843,                 1.0732,                0.77403,                0.64498,                0.71058,                0.44517,                0.76602,                0.63574,                 0.6968,                0.36372,                 1.2137,                 2.1182,                0.97225,                 1.2223,               0.009274,               0.009274,               0.009274
                     24,                0.99123,                 1.6711,                0.68537,                 1.0678,                0.80073,                0.64411,                0.72242,                0.45354,                0.79156,                0.63177,                0.70442,                0.37001,                 1.2035,                 2.1151,                0.96907,                  1.222,               0.009241,               0.009241,               0.009241
                     25,                0.98295,                 1.6505,                0.67056,                 1.0639,                0.76237,                0.66606,                0.71559,                0.44539,                0.76641,                0.65432,                0.70107,                0.36829,                 1.2131,                 2.1381,                0.95851,                 1.2277,               0.009208,               0.009208,               0.009208
                     26,                0.97504,                 1.6347,                0.65637,                 1.0565,                0.75879,                0.67096,                 0.7185,                0.45418,                0.75364,                0.65746,                0.70595,                0.37155,                 1.2028,                 2.1059,                0.95345,                 1.2153,               0.009175,               0.009175,               0.009175
                     27,                 0.9684,                 1.6163,                0.64839,                 1.0522,                0.77471,                0.65497,                0.72178,                0.45039,                0.76577,                0.64242,                0.70404,                0.37016,                 1.2105,                 2.1252,                0.94714,                 1.2235,               0.009142,               0.009142,               0.009142
                     28,                0.96111,                 1.6035,                0.64232,                 1.0525,                0.76869,                0.66442,                0.71886,                0.45255,                0.76189,                0.64959,                0.70447,                0.37139,                 1.1995,                 2.1075,                0.94005,                  1.224,               0.009109,               0.009109,               0.009109
                     29,                0.95439,                 1.5933,                0.63014,                 1.0476,                0.77504,                0.64931,                0.71379,                0.45069,                0.78856,                0.63406,                0.69777,                 0.3703,                 1.1976,                 2.1267,                0.95289,                 1.2206,               0.009076,               0.009076,               0.009076
                     30,                0.94725,                 1.5829,                0.62282,                 1.0419,                 0.7664,                0.66222,                0.71133,                0.44751,                0.76363,                0.65326,                0.69738,                0.36876,                 1.2061,                 2.1231,                 0.9367,                 1.2279,               0.009043,               0.009043,               0.009043
                     31,                   0.94,                 1.5729,                 0.6132,                  1.038,                0.78277,                0.66322,                0.71802,                0.44994,                0.77576,                0.65084,                0.70175,                0.36863,                 1.2029,                 2.1146,                0.93599,                 1.2301,                0.00901,                0.00901,                0.00901
                     32,                0.93493,                 1.5554,                 0.6079,                 1.0354,                0.77457,                0.66379,                 0.7218,                0.45217,                0.77063,                0.65325,                0.70794,                0.37495,                 1.2062,                 2.1176,                 0.9138,                 1.2358,               0.008977,               0.008977,               0.008977
                     33,                 0.9284,                 1.5394,                0.59941,                  1.032,                0.77005,                0.68351,                0.72474,                0.45808,                0.76656,                 0.6668,                0.70996,                0.37756,                 1.1939,                 2.1276,                0.91541,                 1.2251,               0.008944,               0.008944,               0.008944
                     34,                0.92066,                 1.5255,                0.59348,                 1.0287,                 0.7679,                0.66793,                0.71732,                0.45276,                0.77049,                0.65229,                0.70606,                0.37359,                 1.2007,                 2.1322,                0.93211,                  1.236,               0.008911,               0.008911,               0.008911
                     35,                0.91419,                  1.512,                0.58345,                 1.0266,                0.78387,                0.66087,                0.72712,                0.45816,                0.78691,                0.64033,                0.70816,                0.37721,                 1.2017,                  2.122,                0.92442,                  1.235,               0.008878,               0.008878,               0.008878
                     36,                0.90727,                 1.4978,                0.57724,                 1.0182,                0.77341,                0.67087,                0.72362,                0.45602,                0.77226,                0.65641,                0.70798,                  0.373,                 1.1993,                  2.138,                0.92986,                 1.2336,               0.008845,               0.008845,               0.008845
                     37,                0.89982,                 1.4875,                0.56974,                 1.0185,                0.78059,                 0.6707,                0.72541,                0.45671,                0.78071,                0.66221,                 0.7152,                0.37605,                 1.2131,                 2.1398,                0.91633,                 1.2546,               0.008812,               0.008812,               0.008812
                     38,                 0.8977,                 1.4803,                0.57203,                 1.0168,                0.77503,                 0.6666,                0.71784,                 0.4578,                0.77165,                0.66063,                0.70941,                0.37714,                 1.2008,                 2.1311,                0.91695,                 1.2429,               0.008779,               0.008779,               0.008779
                     39,                 0.8897,                 1.4764,                0.56454,                 1.0113,                0.77385,                0.68041,                0.72876,                0.46195,                0.77129,                0.67232,                0.71772,                0.38185,                 1.1951,                 2.1289,                 0.9125,                 1.2358,               0.008746,               0.008746,               0.008746
                     40,                0.88573,                 1.4581,                0.55723,                 1.0071,                0.79568,                0.66502,                 0.7256,                0.46095,                0.79876,                0.65114,                0.71317,                0.38159,                 1.1983,                 2.1407,                0.91654,                 1.2437,               0.008713,               0.008713,               0.008713
                     41,                0.88312,                 1.4511,                0.55425,                 1.0072,                0.79231,                0.65493,                0.72692,                0.46202,                 0.7946,                0.63947,                0.71319,                0.37998,                 1.1938,                 2.1537,                0.91532,                 1.2424,                0.00868,                0.00868,                0.00868
                     42,                0.87784,                  1.447,                0.54406,                 1.0059,                0.77072,                0.67344,                0.73019,                  0.467,                0.80147,                0.63963,                0.71716,                0.38475,                 1.1908,                 2.1511,                 0.9046,                 1.2398,               0.008647,               0.008647,               0.008647
                     43,                0.87023,                  1.435,                0.54192,                 1.0042,                0.80071,                 0.6621,                0.72999,                0.46462,                0.80017,                0.64798,                0.71617,                0.38489,                 1.1989,                 2.1365,                0.89629,                 1.2543,               0.008614,               0.008614,               0.008614
                     44,                0.86641,                 1.4242,                0.53595,                0.99946,                0.78743,                0.67284,                0.73228,                0.46167,                0.78732,                0.65917,                0.71877,                0.38413,                    1.2,                  2.162,                0.90613,                 1.2526,               0.008581,               0.008581,               0.008581
                     45,                 0.8631,                 1.4146,                0.53342,                0.99709,                0.77405,                0.66665,                0.72319,                0.45947,                0.77183,                0.66295,                0.71386,                0.38014,                 1.2068,                 2.1652,                0.89853,                 1.2642,               0.008548,               0.008548,               0.008548
                     46,                0.85705,                 1.4017,                0.52696,                0.99164,                0.80023,                0.66143,                0.73041,                0.46237,                0.80223,                 0.6541,                0.71785,                0.38473,                 1.2032,                 2.1636,                0.89937,                 1.2518,               0.008515,               0.008515,               0.008515
                     47,                0.85587,                 1.4114,                0.52833,                0.99194,                0.79484,                0.66747,                0.72765,                0.46224,                0.78997,                0.65121,                0.71202,                0.38131,                 1.1951,                 2.1655,                0.90696,                 1.2451,               0.008482,               0.008482,               0.008482
                     48,                0.84442,                  1.385,                0.51871,                0.98647,                0.77763,                0.68031,                0.72815,                0.46482,                0.78244,                0.66714,                0.71892,                0.38381,                 1.1936,                 2.1668,                 0.8924,                  1.251,               0.008449,               0.008449,               0.008449
                     49,                  0.844,                 1.3814,                0.51688,                0.98742,                0.77072,                0.68621,                 0.7292,                0.46558,                0.76446,                0.67321,                0.71832,                0.38529,                  1.193,                 2.1781,                0.89169,                 1.2548,               0.008416,               0.008416,               0.008416
                     50,                0.83937,                  1.375,                0.51495,                0.98713,                0.79654,                0.66922,                0.73049,                0.46638,                0.79058,                0.66428,                   0.72,                0.38825,                 1.1916,                 2.1632,                0.89099,                 1.2478,               0.008383,               0.008383,               0.008383
