                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.727,                 3.0922,                 3.1282,                 1.6748,                0.43268,                0.31178,                0.29486,                0.15721,                0.42578,                0.30707,                0.28436,                0.12688,                 1.6287,                  2.727,                 1.9119,                 1.4922,               0.067063,             0.00033269,             0.00033269
                      2,                 1.5254,                 2.6375,                 1.9921,                 1.4188,                0.54492,                0.39842,                0.41737,                0.23302,                0.54073,                0.39149,                0.40368,                0.18599,                 1.4876,                 2.5181,                 1.6456,                 1.3714,               0.034061,             0.00066383,             0.00066383
                      3,                 1.4187,                 2.4824,                 1.7274,                 1.3388,                0.60607,                0.44784,                0.48123,                0.27686,                0.60176,                0.43956,                0.46766,                0.22329,                 1.3838,                 2.3891,                 1.5106,                 1.2935,              0.0010567,             0.00099276,             0.00099276
                      4,                 1.3297,                 2.3565,                 1.5473,                 1.2753,                  0.599,                0.49253,                0.52673,                0.30639,                0.61517,                0.48388,                0.51696,                 0.2471,                 1.3199,                 2.3046,                 1.3937,                 1.2538,              0.0009901,              0.0009901,              0.0009901
                      5,                 1.2738,                 2.2687,                 1.4174,                  1.235,                0.62569,                0.52722,                0.56389,                0.34089,                 0.6329,                 0.5067,                0.54823,                0.27081,                 1.2689,                 2.2428,                 1.3174,                 1.2153,              0.0009868,              0.0009868,              0.0009868
                      6,                 1.2317,                 2.1974,                 1.3191,                 1.2096,                0.66147,                0.52841,                0.58078,                0.34945,                0.64702,                0.52419,                 0.5652,                0.27934,                 1.2542,                 2.2125,                 1.2769,                  1.207,              0.0009835,              0.0009835,              0.0009835
                      7,                  1.205,                 2.1373,                 1.2441,                 1.1897,                0.65325,                0.55899,                0.60496,                 0.3689,                0.66964,                0.55013,                0.59642,                0.29868,                 1.2276,                 2.1707,                 1.2285,                 1.1978,              0.0009802,              0.0009802,              0.0009802
                      8,                 1.1826,                 2.0947,                 1.1843,                 1.1756,                0.70548,                0.55603,                0.62001,                0.38015,                0.70362,                0.55157,                0.60777,                0.30634,                 1.2172,                 2.1569,                 1.1943,                 1.1911,              0.0009769,              0.0009769,              0.0009769
                      9,                 1.1608,                 2.0575,                 1.1329,                 1.1578,                0.65771,                0.58648,                0.61653,                0.38178,                 0.6554,                0.58353,                0.60865,                0.30486,                 1.2051,                 2.1472,                 1.1731,                 1.1842,              0.0009736,              0.0009736,              0.0009736
                     10,                 1.1471,                 2.0279,                 1.0877,                 1.1495,                0.68946,                0.58266,                0.63156,                0.39061,                 0.6948,                0.56808,                0.61947,                0.31363,                 1.2049,                 2.1232,                 1.1399,                 1.1747,              0.0009703,              0.0009703,              0.0009703
