                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7838,                 3.1622,                 2.7029,                 1.7476,                0.37949,                0.33412,                0.28502,                0.13949,                0.36698,                0.32642,                0.26867,                0.11171,                 1.7225,                 2.9633,                 2.0449,                 1.6251,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.6699,                 2.9405,                 2.1435,                 1.6102,                0.47144,                0.33168,                0.32531,                 0.1624,                0.46594,                0.32023,                0.30778,                0.12922,                 1.6731,                 2.8912,                 1.9674,                 1.5925,              0.0066383,              0.0066383,              0.0066383
                      3,                 1.6484,                 2.9192,                  2.046,                 1.5954,                0.47428,                0.36423,                0.33617,                0.16958,                0.46451,                0.34744,                0.31554,                0.13379,                 1.6589,                 2.9163,                 1.9366,                 1.5676,              0.0099276,              0.0099276,              0.0099276
                      4,                 1.6252,                 2.8978,                 1.9664,                 1.5813,                0.46306,                0.36915,                0.35747,                0.18523,                0.44877,                0.36208,                0.33782,                0.14863,                  1.636,                 2.8637,                 1.8435,                 1.5524,               0.009901,               0.009901,               0.009901
                      5,                 1.5956,                 2.8378,                 1.8717,                 1.5572,                0.50689,                 0.3814,                0.38914,                0.20262,                0.49609,                0.36936,                0.36733,                0.15961,                 1.6066,                 2.8069,                 1.7851,                 1.5317,               0.009868,               0.009868,               0.009868
                      6,                 1.5722,                 2.7803,                 1.8097,                   1.54,                 0.4831,                0.41411,                0.40196,                0.20803,                0.46708,                0.39873,                 0.3766,                0.16218,                 1.5894,                 2.7858,                 1.7664,                 1.5218,               0.009835,               0.009835,               0.009835
                      7,                 1.5503,                 2.7401,                  1.749,                 1.5218,                0.52544,                0.40198,                0.41436,                 0.2178,                0.52468,                0.39408,                0.39886,                0.17465,                 1.5759,                 2.7368,                 1.7339,                 1.5075,               0.009802,               0.009802,               0.009802
                      8,                 1.5433,                 2.7174,                 1.7166,                 1.5181,                0.52606,                0.40299,                0.41826,                0.22278,                0.52484,                0.39456,                0.40113,                0.17708,                 1.5634,                 2.7172,                 1.7005,                 1.5031,               0.009769,               0.009769,               0.009769
                      9,                 1.5305,                 2.6986,                 1.6845,                 1.5042,                0.51088,                0.43579,                0.42843,                0.22524,                0.51181,                0.42703,                0.41306,                0.18094,                 1.5563,                 2.7144,                 1.6846,                 1.4939,               0.009736,               0.009736,               0.009736
                     10,                 1.5197,                 2.6739,                 1.6444,                  1.497,                0.50432,                0.41861,                0.42318,                0.22537,                0.49633,                 0.4029,                0.40483,                0.18081,                 1.5634,                 2.6981,                 1.6939,                 1.4911,               0.009703,               0.009703,               0.009703
                     11,                 1.5053,                 2.6511,                 1.6166,                 1.4857,                0.56684,                 0.4141,                0.44525,                0.23608,                 0.5564,                0.40702,                0.43135,                0.19316,                 1.5581,                 2.6759,                 1.6466,                  1.492,                0.00967,                0.00967,                0.00967
