                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2585,                 3.0424,                  1.695,                 1.2381,                0.31226,                0.14132,                0.14069,                0.09124,                0.27237,                 0.1086,                0.10506,                0.05435,                 1.4409,                 3.1175,                 1.5052,                 1.2759,              0.0033304,              0.0033304,              0.0033304
                      2,                 1.0235,                 2.4534,                0.95477,                 1.0925,                0.33674,                0.15413,                0.15128,                0.09695,                0.31726,                0.11691,                0.11236,                0.05753,                 1.4405,                 3.1059,                  1.456,                 1.2738,              0.0066417,              0.0066417,              0.0066417
                      3,                0.98879,                 2.2748,                0.86583,                 1.0603,                 0.3075,                0.15737,                0.16014,                0.10117,                0.26473,                0.11793,                0.11465,                0.05872,                 1.4541,                 3.1136,                 1.4501,                  1.284,              0.0099311,              0.0099311,              0.0099311
                      4,                0.95429,                 2.1556,                0.81093,                 1.0408,                0.36171,                0.16275,                0.16676,                0.10622,                0.32441,                0.12587,                 0.1265,                 0.0651,                  1.428,                 3.0367,                 1.4057,                 1.2712,               0.009901,               0.009901,               0.009901
                      5,                0.89687,                 2.0285,                 0.7458,                 1.0144,                0.38363,                0.16888,                0.17044,                0.10883,                0.36437,                0.12737,                0.12664,                0.06381,                 1.4102,                 3.0125,                 1.3781,                 1.2552,               0.009868,               0.009868,               0.009868
                      6,                0.85467,                 1.9416,                0.70407,                0.99761,                 0.3703,                0.17268,                0.17778,                0.11385,                0.33774,                0.13559,                0.13421,                0.06876,                 1.4008,                 2.9887,                 1.3636,                  1.245,               0.009835,               0.009835,               0.009835
                      7,                0.82645,                 1.8784,                0.67364,                0.98373,                0.38883,                0.17398,                0.18361,                0.11715,                0.36069,                0.13383,                0.13435,                0.06908,                 1.3925,                  2.961,                 1.3506,                  1.238,               0.009802,               0.009802,               0.009802
                      8,                0.80362,                 1.8298,                0.65132,                0.97528,                0.42667,                0.17761,                0.19078,                0.12322,                0.40321,                0.13855,                0.14327,                0.07361,                 1.3799,                 2.9496,                 1.3408,                 1.2272,               0.009769,               0.009769,               0.009769
                      9,                0.78651,                 1.7972,                0.63588,                 0.9686,                 0.4063,                0.18363,                0.19035,                0.12277,                 0.3955,                0.14369,                0.14441,                 0.0737,                 1.3722,                 2.9239,                 1.3233,                  1.223,               0.009736,               0.009736,               0.009736
                     10,                0.77148,                 1.7651,                0.62223,                0.96354,                0.40332,                0.18526,                0.19188,                0.12498,                0.37667,                0.14421,                0.14696,                0.07583,                 1.3595,                 2.9187,                 1.3055,                 1.2224,               0.009703,               0.009703,               0.009703
                     11,                0.75767,                 1.7374,                0.60988,                0.95874,                0.38254,                0.18734,                0.19568,                0.12692,                0.34936,                0.14663,                0.14901,                0.07655,                 1.3568,                 2.9074,                 1.2981,                 1.2146,                0.00967,                0.00967,                0.00967
                     12,                0.74616,                 1.7099,                0.59826,                0.95424,                  0.433,                0.18476,                 0.1944,                  0.126,                0.41113,                0.14443,                0.14813,                0.07598,                 1.3529,                 2.8948,                 1.2943,                 1.2135,               0.009637,               0.009637,               0.009637
                     13,                0.73991,                 1.6965,                0.59188,                0.95153,                0.36688,                 0.1894,                0.19639,                0.12716,                0.35015,                0.14497,                0.14881,                0.07645,                 1.3518,                 2.8926,                 1.2854,                  1.209,               0.009604,               0.009604,               0.009604
                     14,                0.72868,                 1.6711,                0.58112,                0.94722,                 0.4185,                0.19073,                0.19897,                0.12968,                0.39237,                0.14951,                0.15179,                0.07854,                 1.3441,                  2.878,                 1.2747,                 1.2083,               0.009571,               0.009571,               0.009571
                     15,                0.72423,                 1.6656,                0.57848,                0.94586,                0.41249,                0.19346,                0.20229,                0.13147,                0.36675,                0.15036,                0.15084,                0.07865,                 1.3392,                 2.8746,                 1.2739,                 1.2037,               0.009538,               0.009538,               0.009538
                     16,                0.71608,                 1.6483,                0.57171,                0.94307,                0.41739,                0.19442,                0.20235,                0.13179,                0.41403,                0.15333,                  0.155,                0.08022,                 1.3355,                 2.8665,                  1.264,                 1.2026,               0.009505,               0.009505,               0.009505
                     17,                0.70891,                 1.6312,                0.56415,                0.93982,                0.40292,                0.19337,                0.20213,                0.13053,                0.36885,                0.15241,                0.15481,                0.07963,                 1.3349,                 2.8666,                 1.2631,                  1.198,               0.009472,               0.009472,               0.009472
                     18,                0.70526,                 1.6245,                0.56154,                0.93873,                0.39047,                 0.1984,                 0.2064,                0.13277,                0.37814,                0.15209,                0.15713,                0.08067,                 1.3302,                 2.8579,                 1.2565,                  1.196,               0.009439,               0.009439,               0.009439
                     19,                0.69936,                 1.6133,                0.55658,                0.93709,                0.39484,                0.19821,                0.20465,                0.13317,                 0.3846,                0.15531,                0.15541,                0.08102,                 1.3254,                 2.8564,                 1.2507,                 1.1933,               0.009406,               0.009406,               0.009406
                     20,                0.69548,                 1.6046,                0.55248,                0.93507,                0.40635,                0.20022,                0.20699,                0.13378,                0.39744,                0.15322,                0.15761,                0.08162,                 1.3245,                 2.8487,                 1.2452,                 1.1942,               0.009373,               0.009373,               0.009373
                     21,                0.69035,                 1.5909,                0.54831,                0.93356,                0.41256,                0.19867,                0.20634,                0.13389,                0.37299,                0.15744,                0.15752,                0.08159,                 1.3193,                  2.842,                 1.2413,                 1.1905,                0.00934,                0.00934,                0.00934
                     22,                0.68654,                 1.5886,                0.54546,                0.93259,                0.41344,                0.20119,                0.20725,                0.13424,                0.38475,                0.15887,                0.15853,                0.08177,                 1.3218,                 2.8363,                 1.2393,                 1.1906,               0.009307,               0.009307,               0.009307
                     23,                0.68372,                 1.5766,                0.54196,                0.93005,                0.40712,                0.19968,                0.20776,                0.13465,                0.37419,                0.15753,                0.15795,                0.08241,                 1.3173,                  2.835,                 1.2341,                 1.1885,               0.009274,               0.009274,               0.009274
