                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3847,                 2.8294,                 1.5453,                 1.2954,                0.46445,                0.20795,                0.22954,                0.15362,                0.45806,                 0.1686,                0.17971,                0.10142,                 1.4117,                 3.0687,                 1.2292,                 1.2403,              0.0033304,              0.0033304,              0.0033304
                      2,                 1.2148,                 2.3996,                  1.017,                 1.1802,                0.38304,                0.21111,                0.23601,                0.15664,                 0.3529,                0.17244,                0.18892,                0.10869,                 1.4433,                 3.0776,                 1.2351,                 1.2533,              0.0066417,              0.0066417,              0.0066417
                      3,                 1.2041,                 2.3023,                0.95272,                 1.1597,                0.42189,                0.21046,                0.23214,                0.15382,                0.37546,                0.17107,                0.18269,                0.10375,                 1.4722,                 3.1349,                 1.2654,                 1.2741,              0.0099311,              0.0099311,              0.0099311
                      4,                 1.1886,                 2.2404,                 0.9108,                 1.1471,                0.41611,                0.21025,                0.22913,                0.15107,                0.40354,                0.17263,                0.18027,                0.10456,                 1.4593,                 3.1173,                 1.2561,                 1.2682,               0.009901,               0.009901,               0.009901
                      5,                 1.1319,                 2.1309,                0.84502,                 1.1141,                0.47697,                0.20952,                0.23164,                0.15294,                0.44554,                0.16817,                0.17903,                  0.103,                 1.4265,                 3.0553,                 1.2204,                  1.247,               0.009868,               0.009868,               0.009868
                      6,                 1.0906,                 2.0506,                0.80262,                 1.0924,                0.42611,                0.21998,                0.24357,                0.16181,                0.36816,                0.17689,                0.19155,                0.11157,                 1.4108,                 3.0059,                  1.185,                 1.2387,               0.009835,               0.009835,               0.009835
                      7,                 1.0539,                 1.9879,                0.76797,                 1.0742,                0.40229,                0.22461,                0.24297,                0.16219,                  0.372,                0.18322,                0.19168,                0.11107,                 1.4033,                 2.9925,                 1.1751,                 1.2354,               0.009802,               0.009802,               0.009802
                      8,                 1.0296,                 1.9388,                0.74339,                 1.0596,                0.44505,                0.23116,                0.25356,                0.16772,                0.38121,                0.18452,                0.19741,                0.11486,                 1.3866,                  2.964,                 1.1691,                 1.2223,               0.009769,               0.009769,               0.009769
                      9,                 1.0089,                  1.903,                0.72735,                 1.0496,                0.45973,                0.23005,                0.25396,                0.16998,                0.41427,                0.18555,                  0.199,                0.11783,                 1.3776,                 2.9545,                 1.1656,                 1.2154,               0.009736,               0.009736,               0.009736
                     10,                0.98904,                 1.8654,                 0.7087,                 1.0403,                0.44003,                0.23401,                0.25501,                0.17087,                0.37421,                0.19251,                 0.2018,                0.11772,                 1.3694,                 2.9322,                 1.1402,                 1.2128,               0.009703,               0.009703,               0.009703
                     11,                0.97331,                 1.8356,                0.69541,                 1.0334,                 0.4402,                0.23014,                0.24894,                0.16694,                0.39656,                0.18804,                0.19557,                0.11351,                  1.362,                 2.9192,                 1.1372,                 1.2044,                0.00967,                0.00967,                0.00967
                     12,                0.95925,                 1.8052,                0.68236,                 1.0251,                0.41634,                0.23513,                0.25855,                0.17402,                0.37325,                0.19399,                0.20495,                0.11911,                 1.3576,                 2.9073,                 1.1294,                 1.2008,               0.009637,               0.009637,               0.009637
                     13,                0.94602,                 1.7791,                0.67173,                 1.0192,                0.42332,                0.23832,                0.25805,                0.17465,                0.35721,                0.19671,                0.20486,                0.12001,                 1.3588,                 2.8984,                 1.1258,                 1.2031,               0.009604,               0.009604,               0.009604
                     14,                0.93766,                 1.7649,                0.66543,                  1.015,                0.42646,                0.23883,                0.26113,                0.17559,                0.38243,                0.19477,                0.20836,                0.12107,                 1.3502,                  2.887,                 1.1205,                 1.1963,               0.009571,               0.009571,               0.009571
                     15,                0.92766,                 1.7465,                0.65801,                 1.0114,                 0.3909,                0.23848,                0.25984,                0.17444,                0.35114,                 0.1933,                0.20491,                  0.119,                 1.3388,                 2.8765,                 1.1136,                 1.1931,               0.009538,               0.009538,               0.009538
                     16,                0.92081,                 1.7347,                0.65215,                  1.007,                0.44051,                0.24183,                0.26183,                0.17488,                0.37602,                0.19907,                0.20566,                0.11916,                 1.3341,                 2.8737,                  1.112,                 1.1871,               0.009505,               0.009505,               0.009505
                     17,                0.91142,                 1.7194,                 0.6464,                 1.0046,                0.43402,                0.24786,                0.26442,                0.17802,                 0.3839,                0.20094,                0.21069,                0.12257,                 1.3317,                 2.8497,                 1.1007,                 1.1872,               0.009472,               0.009472,               0.009472
                     18,                0.90496,                 1.7039,                0.63964,                 1.0012,                0.45306,                 0.2506,                0.27307,                0.18395,                0.39952,                0.20309,                0.21653,                0.12662,                 1.3242,                 2.8496,                 1.0919,                 1.1793,               0.009439,               0.009439,               0.009439
                     19,                 0.8977,                 1.6928,                0.63345,                0.99753,                 0.4268,                 0.2477,                0.26796,                0.18081,                0.38267,                0.20715,                0.21354,                0.12414,                 1.3242,                 2.8424,                 1.0908,                 1.1796,               0.009406,               0.009406,               0.009406
                     20,                0.89236,                 1.6796,                0.62957,                0.99446,                0.44274,                0.25681,                0.27067,                  0.183,                0.38636,                 0.2064,                0.21459,                0.12484,                 1.3115,                 2.8307,                 1.0794,                 1.1754,               0.009373,               0.009373,               0.009373
                     21,                0.88646,                 1.6699,                 0.6254,                0.99223,                0.44613,                0.25236,                0.27347,                0.18455,                0.39732,                 0.2031,                0.21478,                0.12563,                 1.3124,                 2.8224,                 1.0802,                  1.175,                0.00934,                0.00934,                0.00934
                     22,                0.88155,                 1.6585,                0.62135,                0.99054,                0.42245,                0.25373,                0.27431,                0.18481,                    0.4,                0.20621,                0.21846,                0.12709,                 1.3104,                  2.817,                 1.0756,                 1.1722,               0.009307,               0.009307,               0.009307
                     23,                0.87521,                 1.6485,                0.61689,                  0.988,                0.42302,                0.25727,                0.27513,                0.18599,                0.38063,                0.20967,                0.21728,                0.12711,                 1.3073,                 2.8128,                 1.0744,                   1.17,               0.009274,               0.009274,               0.009274
                     24,                0.87206,                  1.644,                0.61403,                0.98598,                0.42964,                0.25618,                 0.2747,                0.18621,                0.38215,                0.20815,                0.21759,                0.12686,                 1.3026,                 2.8062,                 1.0714,                 1.1685,               0.009241,               0.009241,               0.009241
                     25,                 0.8666,                 1.6328,                0.60919,                0.98301,                0.44134,                0.25144,                  0.276,                0.18713,                0.38997,                0.20641,                0.21821,                0.12708,                 1.2973,                 2.7974,                 1.0648,                 1.1655,               0.009208,               0.009208,               0.009208
                     26,                0.86255,                 1.6283,                0.60863,                0.98294,                0.42769,                0.26217,                0.27895,                 0.1886,                0.41314,                 0.2096,                0.22289,                0.12952,                 1.2956,                  2.794,                 1.0579,                  1.164,               0.009175,               0.009175,               0.009175
                     27,                0.86209,                 1.6257,                0.60737,                 0.9822,                0.43235,                0.26207,                0.27949,                0.18969,                0.37244,                 0.2164,                0.22357,                0.12966,                 1.2897,                 2.7882,                 1.0552,                 1.1595,               0.009142,               0.009142,               0.009142
                     28,                 0.8543,                 1.6133,                0.60065,                0.97896,                  0.426,                 0.2618,                0.28197,                0.19017,                0.37068,                 0.2118,                0.22361,                0.12973,                 1.2886,                 2.7801,                 1.0532,                 1.1604,               0.009109,               0.009109,               0.009109
                     29,                0.85334,                  1.609,                0.59941,                0.97889,                0.46321,                0.25738,                0.28021,                0.18979,                0.40599,                0.21411,                0.22428,                0.12957,                 1.2833,                 2.7743,                  1.051,                 1.1573,               0.009076,               0.009076,               0.009076
                     30,                 0.8489,                 1.6012,                0.59748,                0.97729,                0.46686,                0.26573,                0.28331,                0.19203,                0.40469,                0.21615,                0.22719,                0.13187,                 1.2825,                 2.7708,                 1.0474,                 1.1571,               0.009043,               0.009043,               0.009043
                     31,                0.84732,                 1.5964,                0.59581,                0.97555,                0.47705,                0.26491,                0.28366,                0.19207,                 0.4211,                0.22055,                0.22696,                0.13137,                 1.2793,                 2.7641,                 1.0435,                 1.1554,                0.00901,                0.00901,                0.00901
                     32,                0.84508,                 1.5949,                0.59412,                0.97521,                 0.4246,                  0.265,                0.28338,                0.19252,                0.35977,                0.21818,                0.22516,                0.13118,                 1.2799,                 2.7596,                 1.0434,                 1.1576,               0.008977,               0.008977,               0.008977
                     33,                0.83997,                 1.5845,                0.59033,                0.97278,                0.41748,                0.26778,                0.28425,                0.19281,                0.36217,                0.21944,                0.22626,                0.13143,                 1.2779,                 2.7593,                 1.0389,                 1.1548,               0.008944,               0.008944,               0.008944
                     34,                0.83748,                 1.5786,                0.58758,                0.97184,                0.43087,                0.26636,                0.28307,                0.19159,                 0.3877,                0.21933,                0.22512,                0.13012,                 1.2755,                 2.7537,                 1.0362,                 1.1541,               0.008911,               0.008911,               0.008911
                     35,                0.83479,                 1.5747,                0.58638,                0.97113,                0.44184,                0.26586,                0.28282,                0.19197,                0.40485,                0.21666,                0.22635,                0.13151,                 1.2718,                 2.7482,                 1.0335,                 1.1514,               0.008878,               0.008878,               0.008878
                     36,                 0.8302,                 1.5654,                 0.5824,                0.96893,                0.44504,                0.26382,                0.28621,                0.19405,                 0.3911,                0.21919,                0.22836,                0.13208,                 1.2701,                 2.7441,                 1.0324,                 1.1496,               0.008845,               0.008845,               0.008845
                     37,                0.83075,                  1.567,                0.58309,                0.96916,                0.42925,                0.26953,                0.28844,                0.19498,                0.38147,                0.21999,                0.23084,                0.13302,                 1.2677,                 2.7401,                   1.03,                 1.1493,               0.008812,               0.008812,               0.008812
                     38,                 0.8303,                  1.569,                0.58298,                0.96909,                0.42808,                0.27185,                0.28786,                0.19494,                0.38044,                0.21761,                0.22969,                0.13331,                  1.265,                  2.738,                  1.027,                 1.1494,               0.008779,               0.008779,               0.008779
