                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2006,                 2.9189,                 1.3186,                  1.205,                0.45628,                0.21214,                0.23457,                0.15708,                0.45617,                0.17421,                0.18393,                0.10307,                 1.4032,                 3.0532,                 1.2014,                 1.2506,              0.0033304,              0.0033304,              0.0033304
                      2,                0.96117,                 2.2771,                0.75582,                 1.0571,                0.41992,                0.22693,                0.24857,                 0.1677,                0.38743,                0.18935,                0.20011,                0.11447,                 1.3902,                  3.021,                 1.1637,                 1.2369,              0.0066417,              0.0066417,              0.0066417
                      3,                0.93992,                 2.1159,                0.70086,                 1.0308,                0.47197,                0.22322,                0.25425,                0.17085,                0.44893,                0.18689,                0.20431,                0.11676,                 1.4086,                 3.0147,                 1.1806,                 1.2428,              0.0099311,              0.0099311,              0.0099311
                      4,                 0.9166,                  2.024,                0.67197,                 1.0174,                0.41795,                0.22087,                0.24188,                0.15842,                0.36918,                0.17946,                0.19021,                 0.1089,                 1.3977,                 2.9921,                 1.1704,                 1.2389,               0.009901,               0.009901,               0.009901
                      5,                0.86148,                 1.9064,                0.62503,                 0.9949,                0.45558,                0.22811,                  0.248,                0.16503,                0.38355,                0.18666,                0.19688,                0.11303,                 1.3885,                 2.9746,                 1.1559,                 1.2351,               0.009868,               0.009868,               0.009868
                      6,                0.82076,                 1.8205,                0.59337,                 0.9796,                0.40335,                0.23536,                0.25144,                  0.167,                0.40321,                0.19289,                0.20152,                0.11534,                   1.38,                  2.932,                 1.1415,                 1.2258,               0.009835,               0.009835,               0.009835
                      7,                 0.7925,                 1.7594,                0.57057,                0.96804,                0.46761,                0.23203,                 0.2622,                0.17463,                0.43015,                 0.1838,                0.20466,                0.11729,                 1.3597,                 2.9276,                 1.1325,                 1.2188,               0.009802,               0.009802,               0.009802
                      8,                0.76795,                 1.7051,                0.55259,                0.95924,                0.42508,                0.24406,                0.25778,                0.17144,                0.37998,                0.19987,                 0.2049,                0.11829,                 1.3554,                 2.9037,                 1.1147,                 1.2086,               0.009769,               0.009769,               0.009769
                      9,                0.75101,                 1.6721,                0.54023,                0.95333,                0.48352,                0.23993,                0.26185,                0.17373,                 0.4458,                 0.2005,                0.20769,                0.11856,                 1.3532,                 2.8966,                 1.1086,                 1.2123,               0.009736,               0.009736,               0.009736
                     10,                0.73611,                 1.6417,                0.52961,                0.94856,                0.47092,                0.24673,                0.26212,                0.17433,                0.43021,                0.20457,                0.20863,                0.11994,                 1.3345,                 2.8654,                 1.0885,                 1.2094,               0.009703,               0.009703,               0.009703
                     11,                0.72304,                 1.6123,                0.51979,                0.94435,                 0.4892,                0.24629,                0.26776,                0.17743,                0.44584,                0.20422,                0.21353,                0.12289,                 1.3252,                 2.8526,                 1.0889,                 1.1904,                0.00967,                0.00967,                0.00967
                     12,                0.71074,                 1.5839,                0.51052,                 0.9392,                0.44688,                0.25019,                0.26878,                0.17847,                0.40256,                0.20672,                0.21414,                0.12272,                 1.3269,                 2.8468,                 1.0843,                 1.1949,               0.009637,               0.009637,               0.009637
                     13,                0.70171,                 1.5643,                0.50373,                0.93607,                0.42119,                0.25241,                0.26885,                0.17974,                0.38606,                0.20793,                0.21364,                0.12327,                 1.3175,                 2.8267,                 1.0723,                 1.1889,               0.009604,               0.009604,               0.009604
                     14,                 0.6902,                 1.5418,                0.49505,                0.93187,                0.39824,                0.25361,                0.27085,                0.18096,                0.37417,                0.20273,                0.21354,                0.12415,                 1.3169,                 2.8218,                 1.0701,                 1.1842,               0.009571,               0.009571,               0.009571
