                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2047,                 2.9134,                 1.4608,                  1.205,                0.49441,                0.19803,                0.20576,                0.13383,                 0.4634,                 0.1581,                0.15991,                0.08541,                 1.4088,                 3.0342,                 1.3089,                 1.2568,              0.0033304,              0.0033304,              0.0033304
                      2,                0.96289,                 2.2742,                0.80992,                 1.0599,                0.45941,                0.20484,                0.22375,                0.14464,                0.44791,                0.16491,                0.17487,                0.09428,                 1.3786,                  2.985,                 1.2574,                 1.2347,              0.0066417,              0.0066417,              0.0066417
                      3,                0.94115,                 2.1107,                0.74514,                 1.0333,                0.47929,                0.20241,                 0.2252,                0.14458,                0.43991,                0.15849,                0.17359,                0.09327,                 1.4033,                  2.997,                 1.2729,                 1.2507,              0.0099311,              0.0099311,              0.0099311
                      4,                0.91615,                  2.014,                0.71014,                 1.0191,                0.48192,                0.20141,                0.22209,                0.14155,                0.44189,                0.16575,                0.17484,                0.09246,                 1.4055,                 2.9702,                 1.2713,                 1.2481,               0.009901,               0.009901,               0.009901
                      5,                0.86074,                 1.8991,                0.65847,                0.99581,                0.48846,                0.21532,                0.22884,                0.14656,                0.44537,                0.17384,                0.17741,                0.09588,                 1.3796,                  2.934,                 1.2333,                 1.2335,               0.009868,               0.009868,               0.009868
                      6,                 0.8202,                 1.8143,                0.62427,                0.98053,                0.46424,                0.22031,                0.23906,                0.15488,                0.44165,                0.17263,                0.18514,                0.09911,                  1.373,                 2.9211,                 1.2254,                 1.2302,               0.009835,               0.009835,               0.009835
                      7,                0.79118,                 1.7474,                0.59824,                0.96863,                0.49402,                0.22144,                0.24181,                  0.156,                0.44803,                0.17582,                0.18589,                0.09911,                 1.3595,                 2.8923,                 1.2065,                 1.2238,               0.009802,               0.009802,               0.009802
                      8,                0.76721,                 1.6988,                0.57912,                 0.9606,                 0.4881,                0.22546,                 0.2459,                0.15858,                 0.4476,                0.17955,                0.19129,                0.10156,                 1.3547,                 2.8717,                 1.1934,                 1.2172,               0.009769,               0.009769,               0.009769
                      9,                0.75062,                 1.6676,                0.56601,                0.95406,                0.51196,                 0.2255,                 0.2458,                0.15885,                0.47213,                0.18064,                0.19024,                0.10137,                 1.3454,                 2.8634,                  1.187,                 1.2119,               0.009736,               0.009736,               0.009736
                     10,                0.73624,                 1.6325,                0.55367,                0.94917,                0.50368,                 0.2295,                0.25522,                0.16516,                0.50223,                0.18367,                0.19994,                0.10641,                  1.338,                 2.8406,                 1.1655,                 1.2075,               0.009703,               0.009703,               0.009703
