                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5393,                 3.2994,                 2.0865,                 1.3143,                0.54023,                0.16177,                 0.1665,                0.10418,                0.51232,                0.12591,                0.12377,                0.05482,                 1.3749,                 2.9857,                 1.3707,                 1.2057,               0.067362,             0.00066607,             0.00066607
                      2,                 1.3814,                 2.9302,                 1.4082,                 1.2163,                 0.5236,                0.18885,                0.20346,                0.12608,                 0.4982,                0.15098,                0.15261,                0.06763,                 1.3238,                 2.8554,                  1.247,                 1.1747,               0.034687,              0.0013239,              0.0013239
                      3,                 1.3495,                   2.85,                 1.3189,                 1.1972,                0.50633,                0.20209,                0.21585,                0.13353,                0.45794,                0.16036,                0.16299,                 0.0727,                 1.3104,                  2.798,                 1.2109,                 1.1641,              0.0020026,               0.001973,               0.001973
                      4,                 1.3336,                 2.7994,                 1.2666,                 1.1864,                0.47293,                0.21351,                0.22812,                0.14091,                0.45368,                0.17138,                0.17292,                0.07749,                 1.2997,                 2.7622,                 1.1844,                 1.1582,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.3178,                 2.7601,                 1.2254,                 1.1762,                0.51032,                0.21815,                0.23785,                0.14721,                0.46942,                 0.1741,                0.18092,                0.08252,                 1.2835,                 2.7235,                  1.151,                 1.1501,              0.0019472,              0.0019472,              0.0019472
                      6,                  1.305,                 2.7282,                 1.1995,                 1.1704,                0.46345,                0.22499,                0.24173,                0.15014,                0.44676,                0.18188,                0.18491,                0.08417,                 1.2736,                 2.7027,                 1.1382,                 1.1445,               0.001934,               0.001934,               0.001934
                      7,                 1.2943,                  2.704,                 1.1772,                 1.1631,                0.50796,                0.22806,                 0.2452,                0.15208,                0.49307,                0.18325,                0.18934,                0.08635,                   1.27,                 2.6869,                 1.1275,                 1.1408,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.2867,                 2.6861,                  1.159,                  1.158,                0.53129,                0.23128,                0.25534,                0.16102,                0.50254,                0.18702,                 0.1982,                0.09381,                 1.2634,                  2.675,                 1.1175,                 1.1363,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.2786,                 2.6685,                 1.1458,                 1.1525,                0.48939,                0.23399,                 0.2531,                0.15703,                0.46387,                0.18844,                0.19465,                0.08885,                  1.259,                 2.6621,                 1.1079,                 1.1344,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.2715,                 2.6572,                 1.1328,                 1.1494,                0.47893,                 0.2389,                0.25525,                0.15844,                0.43958,                 0.1929,                 0.1961,                0.08955,                 1.2526,                 2.6532,                 1.0986,                 1.1307,              0.0018812,              0.0018812,              0.0018812
